type	en	ru	example_en	example_ru	layer	topic	note	breakdown
collocation	set up a call	назначить созвон	Let us set up a call for Tuesday.	Давайте назначим созвон на вторник.	business	meetings	set up — «поставить на место, подготовить». Разделяемый: set it up. Call в офисе значит созвон, а не телефонный звонок как устройство.	set up — организовать, наладить · a call — созвон
collocation	push a meeting back	перенести встречу на позже	Can we push the meeting back an hour?	Можем перенести встречу на час позже?	business	meetings	back = позже во времени. Тот же push back, что и про сроки, но здесь объект стоит внутри: push A MEETING back. Оба порядка допустимы.	push back — отодвинуть · a meeting — встреча
collocation	bring forward	перенести на более ранний срок	They want to bring the deadline forward.	Они хотят перенести срок раньше.	business	meetings	Пара к push back: forward = раньше. Ловушка для русского уха — «вперёд» здесь про календарь, а не про будущее, то есть срок становится РАНЬШЕ.	bring — принести · forward — вперёд
collocation	run through the agenda	пройтись по повестке	Let us run through the agenda quickly.	Давайте быстро пройдёмся по повестке.	business	meetings	run through — «пробежать по», без углубления. Артикль the: повестка у встречи одна и известна всем. Agenda всегда единственного числа.	run through — быстро пройти · the agenda — повестка
collocation	take the minutes	вести протокол	I will take the minutes today.	Я сегодня буду вести протокол.	business	meetings	minutes здесь не «минуты», а «протокол собрания» — от латинского minuta «черновик». Только во множественном и только с the.	take — брать, вести · the minutes — протокол
collocation	circle back to	вернуться к вопросу	Let us circle back to pricing later.	Вернёмся к ценообразованию позже.	business	meetings	Метафора круга: вернуться к отложенному позже. Корпоративный штамп, часто вежливое «не сейчас». Предлог to обязателен.	circle back — вернуться по кругу · to — к чему
collocation	park an issue	отложить вопрос	Let us park that issue for now.	Давайте пока отложим этот вопрос.	business	meetings	Отложить, не закрывая: вопрос стоит на стоянке и его заберут. Мягче, чем drop. Отсюда же parking lot — список отложенного.	park — припарковать · an issue — вопрос
collocation	loop someone in	подключить кого-то к переписке	Please loop the legal team in.	Пожалуйста, подключи юристов.	business	email	Из loop «петля» — цепочка переписки. Разделяемый: loop me in. Противоположное — loop someone out почти не говорят, скорее drop from the thread.	loop in — включить в цепочку · someone — кого-то
collocation	follow up on	напомнить, проследить	I am following up on my previous email.	Напоминаю о своём предыдущем письме.	business	email	follow up — довести начатое до ответа. Как существительное пишется через дефис: a follow-up. Предлог on задаёт тему, with — человека.	follow up — проследить далее · on — по какому вопросу
collocation	reach out to	связаться с	I will reach out to the vendor today.	Я свяжусь с поставщиком сегодня.	business	email	Нейтральное «связаться», вытеснившее contact в переписке. Всегда с to. Без out значит физически дотянуться.	reach out — протянуть руку · to — к кому
collocation	touch base with	связаться накоротке	Let me touch base with the team first.	Дай я сначала свяжусь с командой.	business	email	Из бейсбола: коснуться базы, обозначить присутствие. Короткий контакт без повестки, не полноценная встреча.	touch — коснуться · base — база · with — с кем
collocation	keep someone posted	держать в курсе	I will keep you posted on the progress.	Буду держать тебя в курсе прогресса.	business	email	posted от post «сообщать, вывешивать» — как объявление на доске. Пассивная форма обязательна: keep me POSTED.	keep — держать · someone — кого-то · posted — извещённым
collocation	flag a risk	обозначить риск	I want to flag a risk about the timeline.	Хочу обозначить риск по срокам.	business	risk	Флаг как сигнал: заметил и показал, а не решил. Часто без обвинения — просто фиксация. Отсюда же a red flag.	flag — поднять флаг, обозначить · a risk — риск
collocation	escalate an issue	эскалировать вопрос	We had to escalate the issue to the director.	Пришлось эскалировать вопрос директору.	business	risk	От escalator: вопрос едет вверх по иерархии. Не «обострить», хотя корень тот же — по-английски это движение по инстанциям.	escalate — поднять на уровень выше · an issue — вопрос
collocation	mitigate a risk	снизить риск	We mitigate the risk with a staged rollout.	Мы снижаем риск поэтапной выкаткой.	business	risk	mitigate — снизить последствия, не устранить: риск остаётся. Отличается от eliminate, где риска больше нет. Формальное слово.	mitigate — смягчить, уменьшить · a risk — риск
collocation	a blocker	блокер	This dependency is a blocker for release.	Эта зависимость блокер для релиза.	business	risk	Существительное от block. То, без чего работа не идёт дальше — сильнее, чем issue. Артикль обязателен: I have A blocker.	a — неопределённый артикль · blocker — то, что блокирует
collocation	meet a deadline	уложиться в срок	We will not meet the deadline this way.	Так мы не уложимся в срок.	business	planning	meet про требования — «соответствовать»: то же в meet expectations, meet the criteria. Не «успеть к сроку», а «попасть в срок».	meet — встретить, здесь «выполнить» · a deadline — крайний срок
collocation	scope creep	расползание объёма работ	Scope creep killed our original estimate.	Расползание объёма убило нашу первоначальную оценку.	business	planning	creep передаёт незаметность: объём растёт по чуть-чуть, и никто не заметил момента. Без артикля — это явление, а не случай.	scope — объём работ · creep — ползти, подкрадываться
collocation	break something down	разбить на части	Break the task down into smaller pieces.	Разбей задачу на части поменьше.	business	planning	Разделяемый: break it down. Не «сломать»: down здесь про разложение на составляющие. Существительное — a breakdown, разбивка.	break down — разобрать на части · something — что-то
collocation	allocate resources	выделить ресурсы	We need to allocate resources for testing.	Нужно выделить ресурсы на тестирование.	business	planning	allocate формальнее, чем give: подразумевает решение и учёт. Resources почти всегда во множественном.	allocate — распределить, выделить · resources — ресурсы
collocation	a rough estimate	грубая оценка	Give me a rough estimate by Friday.	Дай грубую оценку к пятнице.	business	planning	rough — «необработанный», отсюда «приблизительный». Estimate как существительное произносится с [ə] на конце, глагол — с [eɪt]. Разное чтение одного написания.	a rough — грубый, приблизительный · estimate — оценка
