type	en	ru	example_en	example_ru	layer	topic	note	breakdown
collocation	elicit requirements	выявлять требования	We elicit requirements through workshops.	Мы выявляем требования через воркшопы.	analysis	babok	BABOK: elicitation, не gathering — требования не лежат готовыми	
collocation	a functional requirement	функциональное требование	Each functional requirement needs a test.	Каждому функциональному требованию нужен тест.	analysis	babok		
collocation	a non-functional requirement	нефункциональное требование	Latency is a non-functional requirement.	Задержка это нефункциональное требование.	analysis	babok		
collocation	acceptance criteria	критерии приёмки	The acceptance criteria are not testable yet.	Критерии приёмки пока непроверяемы.	analysis	babok		
collocation	a traceability matrix	матрица трассировки	The traceability matrix links tests to requirements.	Матрица трассировки связывает тесты с требованиями.	analysis	babok		
collocation	trace a requirement to	протрассировать требование до	Trace every requirement to a business goal.	Протрассируй каждое требование до бизнес-цели.	analysis	babok		
collocation	stakeholder analysis	анализ заинтересованных сторон	Stakeholder analysis comes before elicitation.	Анализ заинтересованных сторон идёт до выявления.	analysis	babok		
collocation	a business rule	бизнес-правило	This business rule changes every quarter.	Это бизнес-правило меняется каждый квартал.	analysis	babok		
collocation	gap analysis	анализ разрывов	Gap analysis shows what the system lacks.	Анализ разрывов показывает, чего системе не хватает.	analysis	babok		
collocation	as-is process	процесс как есть	Document the as-is process before redesign.	Опиши процесс как есть до перепроектирования.	analysis	babok		
collocation	to-be process	целевой процесс	The to-be process removes two approvals.	Целевой процесс убирает два согласования.	analysis	babok		
collocation	a solution scope	границы решения	The solution scope excludes reporting.	Границы решения исключают отчётность.	analysis	babok		
collocation	a use case	сценарий использования	Write a use case for the refund flow.	Напиши сценарий использования для возврата.	analysis	babok		
collocation	an edge case	краевой случай	This edge case breaks the nightly job.	Этот краевой случай ломает ночную задачу.	analysis	babok		
collocation	a happy path	основной сценарий	The happy path works, the errors do not.	Основной сценарий работает, ошибки нет.	analysis	babok		
collocation	a corner case	редкое сочетание условий	One corner case appears only at midnight.	Один редкий случай возникает только в полночь.	analysis	babok		
collocation	validate a requirement	проверить требование на ценность	We validate requirements against the goal.	Мы проверяем требования на соответствие цели.	analysis	ireb	IREB: validation спрашивает нужное ли это	
collocation	verify a requirement	проверить требование на корректность	Verify the requirement is unambiguous.	Проверь, что требование однозначно.	analysis	ireb	IREB: verification спрашивает правильно ли записано	
collocation	an ambiguous requirement	неоднозначное требование	An ambiguous requirement produces two systems.	Неоднозначное требование порождает две системы.	analysis	ireb		
collocation	a testable requirement	проверяемое требование	A testable requirement names a number.	Проверяемое требование называет число.	analysis	ireb		
collocation	a conflicting requirement	противоречивое требование	Two conflicting requirements reached the sprint.	Два противоречивых требования дошли до спринта.	analysis	ireb		
collocation	prioritise requirements	приоритизировать требования	We prioritise requirements with the sponsor.	Мы приоритизируем требования со спонсором.	analysis	ireb		
collocation	a requirement baseline	базовая версия требований	The requirement baseline is frozen today.	Базовая версия требований заморожена сегодня.	analysis	ireb		
collocation	a change request	запрос на изменение	Every change request needs an impact analysis.	Каждый запрос на изменение требует анализа влияния.	analysis	ireb		
