type	en	ru	example_en	example_ru	layer	topic	note	breakdown
phrase	I am running late	я опаздываю	I am running late, start without me.	Я опаздываю, начинайте без меня.	core	daily	Английский описывает состояние, а не факт: не «я опоздал», а «я в процессе опаздывания». Поэтому Continuous. I am late — уже опоздал, I am running late — ещё еду, но не успеваю.	I am — я есть · running — бегущий, здесь «идущий с отставанием» · late — поздно
phrase	it depends	смотря по обстоятельствам	How long does it take? It depends.	Сколько это займёт? Смотря по обстоятельствам.	core	daily	Предложение без подлежащего по-русски («смотря по обстоятельствам») в английском невозможно: нужен it. Без него фраза не существует. Продолжение всегда через on: it depends ON the weather.	it — оно, формальное подлежащее · depends — зависит, от depend on
phrase	let me check	дай проверю	Let me check and I will tell you.	Дай проверю и скажу тебе.	core	daily	После let идёт голый инфинитив без to: let me CHECK, не «let me to check». Это одна из немногих таких конструкций вместе с make и help.	let — позволь · me — мне · check — проверить
phrase	I will get back to you	я вернусь с ответом	I will get back to you tomorrow morning.	Я вернусь с ответом завтра утром.	core	daily	get back to — не «вернуться назад», а «дать ответ позже». Стандартная деловая формула вместо «я не знаю сейчас». Предлог to обязателен: вернуться К кому.	I will — я буду · get back — вернуться · to you — к тебе
phrase	that works for me	мне подходит	Friday at six? That works for me.	Пятница в шесть? Мне подходит.	core	daily	work здесь не про труд, а про «годится». Так соглашаются на время встречи или предложение. Русское «мне подходит» — точный эквивалент.	that — то, это · works — работает, подходит · for me — для меня
phrase	never mind	неважно, забей	Never mind, I found it myself.	Неважно, я сам нашёл.	core	daily	mind как глагол — «возражать, придавать значение». Буквально «не бери в голову». Отсюда же Do you mind? — «ты не против?».	never — никогда · mind — обращать внимание, беспокоиться
phrase	I would rather stay home	я бы лучше остался дома	I would rather stay home tonight.	Я бы лучше остался дома сегодня.	core	daily	После would rather идёт голый инфинитив без to. Это отдельная конструкция предпочтения, не путать с would like TO stay.	I would — я бы · rather — скорее, предпочтительнее · stay — остаться · home — дома
phrase	hang on a second	подожди секунду	Hang on a second, my phone is ringing.	Подожди секунду, у меня телефон звонит.	core	daily	hang on буквально «держись за что-то» — как на телефонной линии. Разговорное; в письме лучше one moment. Второе значение — «держись» в трудной ситуации.	hang on — держись, подожди · a second — секунду
phrase	I am on my way	я уже еду	I am on my way, five minutes.	Я уже еду, пять минут.	core	daily	Состояние «в дороге» выражается через предлог места, а не глагол движения. Не «I go» — это звучало бы как привычка, а не как «еду прямо сейчас».	I am — я есть · on — на · my way — моём пути
phrase	it is up to you	решай сам	Where do we eat? It is up to you.	Где едим? Решай сам.	core	daily	up to здесь не «до» и не «вверх», а «в зоне твоего решения». Второе частое значение того же оборота — «замышлять»: what are you up to?	it is — это есть · up to — на усмотрение · you — тебя
collocation	make up my mind	определиться	I cannot make up my mind about the offer.	Я не могу определиться насчёт предложения.	core	daily	Метафора сборки: решение не «приходит», а собирается из частей. Разделяемый фразовый глагол: make up my mind, но make my mind up тоже верно.	make up — составить, сложить · my mind — мой разум, решение
collocation	run out of	закончиться	We ran out of coffee this morning.	У нас утром закончился кофе.	core	daily	Кончается всегда через of: run out OF milk. Без of — «выбежать наружу». Подлежащее — тот, у кого кончилось, а не то, что кончилось.	run out — иссякать · of — предлог того, что кончилось
collocation	pick someone up	забрать кого-то	I will pick you up at eight.	Я заберу тебя в восемь.	core	daily	Разделяемый глагол: с местоимением ТОЛЬКО pick me up, «pick up me» неверно. С существительным можно и так, и так. Второе значение — «подцепить», в том числе язык.	pick up — подобрать, забрать · someone — кого-то
collocation	drop someone off	подвезти и высадить	Can you drop me off at the station?	Можешь высадить меня у станции?	core	daily	Пара к pick up. Off — «отделить от себя»: тот же смысл в drop off a parcel. Без off значит «уронить».	drop off — высадить · someone — кого-то
collocation	get used to	привыкнуть к	I am getting used to the new schedule.	Я привыкаю к новому расписанию.	core	daily	После to здесь СУЩЕСТВИТЕЛЬНОЕ или -ing, а не инфинитив: get used to WAKING up. Это ловушка: to выглядит как частица инфинитива, но это предлог.	get — становиться · used — привыкший · to — к чему
collocation	look forward to	ждать с нетерпением	I look forward to the weekend.	Жду выходных с нетерпением.	core	daily	Та же ловушка, что и в get used to: to здесь предлог, дальше -ing. I look forward to MEETING you. В письмах это стандартная концовка.	look forward — смотреть вперёд · to — к чему
collocation	end up doing	в итоге сделать	We ended up staying two more days.	В итоге мы остались ещё на два дня.	core	daily	После end up идёт -ing, а не инфинитив: end up WORKING late. Означает незапланированный исход: не то, что задумывал.	end up — оказаться в итоге · doing — делающим
collocation	figure out	разобраться	I need to figure out the train times.	Мне надо разобраться с расписанием поездов.	core	daily	out добавляет завершённость: не «думать», а «додуматься». Разделяемый: figure it out, но не «figure out it».	figure — вычислять, соображать · out — наружу, до конца
collocation	catch up with	наверстать, повидаться	Let us catch up with each other soon.	Давай скоро повидаемся.	core	daily	Два значения одной фразы: догнать по работе и повидаться после перерыва. Различает контекст. С человеком — всегда with.	catch up — догнать · with — с кем
collocation	put off	откладывать	Do not put off the dentist again.	Не откладывай стоматолога снова.	core	daily	Буквально «отложить в сторону» — то же движение, что и в русском «отложить». Дальше -ing: put off CALLING him. Не путать с put on «надеть».	put — класть · off — прочь, в сторону
phrase	I am not sure yet	я пока не уверен	I am not sure yet, give me a day.	Я пока не уверен, дай мне день.	core	hedging	yet в отрицании значит «пока нет, но возможно будет». Убери yet — и это станет окончательным «я не уверен». Место yet — в конце.	I am — я есть · not sure — не уверен · yet — пока ещё
phrase	as far as I know	насколько я знаю	As far as I know the shop closes at nine.	Насколько я знаю, магазин закрывается в девять.	core	hedging	Буквально «настолько далеко, насколько я знаю» — оговорка о границе своего знания. Сокращают до AFAIK в переписке.	as far as — насколько · I know — я знаю
phrase	to be honest	честно говоря	To be honest I did not like it.	Честно говоря, мне не понравилось.	core	hedging	Вводный оборот, а не часть предложения: стоит отдельно и отделяется запятой. Часто предваряет неприятную правду. Сокращают до TBH.	to be — быть · honest — честный
phrase	I have no idea	понятия не имею	I have no idea where he went.	Понятия не имею, куда он ушёл.	core	hedging	Английский отрицает через no при существительном, а не двойным отрицанием как русский. «I do not have any idea» тоже верно, но звучит слабее.	I have — я имею · no — никакой · idea — идея, представление
phrase	it is worth trying	стоит попробовать	The new place is worth trying.	Новое место стоит попробовать.	core	opinion	После worth всегда -ing, никогда инфинитив: worth TRYING, не «worth to try». Worth — прилагательное, а не глагол.	it is — это есть · worth — стоящий · trying — попытка
collocation	take a look at	взглянуть на	Take a look at this photo.	Взгляни на это фото.	core	daily	Английский часто превращает действие в существительное и берёт его: take a look, take a walk, have a look. Живее, чем просто look at.	take — взять · a look — взгляд · at — на
collocation	keep in touch	оставаться на связи	Let us keep in touch after the trip.	Давай останемся на связи после поездки.	core	daily	touch здесь «контакт», а не «прикосновение». Оборот сохраняется целиком: keep in touch, get in touch, be in touch — все без артикля.	keep — держать · in touch — в касании, в контакте
collocation	in the meantime	тем временем	In the meantime I will book the tickets.	Тем временем я забронирую билеты.	core	daily	meantime — существительное «промежуток между событиями», отдельно почти не встречается. Только с in the. Синоним meanwhile — наречие и артикля не требует.	in — в · the meantime — промежуточное время
collocation	the other day	на днях	I saw her the other day near the office.	Я видел её на днях у офиса.	core	daily	Не «другой день», а «на днях, недавно» — про прошлое. Артикль the обязателен. Про будущее так не говорят.	the — определённый артикль · other — другой · day — день
collocation	by the way	кстати	By the way your parcel arrived.	Кстати, твоя посылка пришла.	core	daily	Буквально «попутно» — отсюда «кстати». Вводит смену темы. Сокращают до BTW.	by — мимо, около · the way — путь
phrase	I did not catch that	я не расслышал	Sorry, I did not catch that.	Извини, я не расслышал.	core	clarify	catch про речь — «уловить», а не «поймать». Вежливее, чем I did not hear you: ты берёшь вину на себя, а не жалуешься на собеседника.	I did not — я не · catch — поймать, здесь «расслышать» · that — то
phrase	could you say that again	можешь повторить	Could you say that again more slowly?	Можешь повторить помедленнее?	core	clarify	Could здесь не прошедшее время, а смягчение просьбы. Can you say that again звучит резче, would you — ещё мягче.	could — не «мог», а вежливое «не могли бы» · you — вы · say — сказать · that — то · again — снова
phrase	what do you mean by that	что ты имеешь в виду	What do you mean by that exactly?	Что именно ты имеешь в виду?	core	clarify	Смысл передаётся предлогом by — «посредством этого». Без by вопрос неполон. Тон зависит от интонации: может звучать и как уточнение, и как вызов.	what — что · do you mean — ты имеешь в виду · by that — этим
collocation	give someone a hand	помочь кому-то	Can you give me a hand with the boxes?	Поможешь мне с коробками?	core	daily	Помощь как «дать руку» — та же метафора, что в русском «подать руку». Артикль a обязателен. Отсюда же give me a hand with this.	give — дать · someone — кому-то · a hand — руку
collocation	be worn out	вымотаться	I am completely worn out after the flight.	Я совершенно вымотан после перелёта.	core	daily	Тот же глагол, что и «носить одежду»: изношен до дыр — про вещь, вымотан — про человека. Всегда пассив: I AM worn out.	be — быть · worn — изношенный, третья форма wear · out — до конца
collocation	grab a coffee	выпить кофе	Let us grab a coffee before the meeting.	Давай выпьем кофе перед встречей.	core	daily	grab вместо get добавляет быстроту и небрежность. Coffee неисчисляемое, но с артиклем значит «одна порция» — так же, как a beer.	grab — схватить, взять на бегу · a coffee — один кофе
collocation	sort something out	уладить что-то	I will sort the booking out today.	Я улажу бронирование сегодня.	core	daily	Британское «уладить». out даёт завершённость, как в figure out. Разделяемый: sort it out, но не «sort out it».	sort — сортировать, разобрать · something — что-то · out — до конца
collocation	come across	наткнуться на	I often come across this problem at work.	Я часто наталкиваюсь на эту проблему на работе.	core	daily	Буквально «выйти поперёк пути» — наткнуться случайно, без поиска. Второе значение — «производить впечатление»: he comes across as rude.	come — приходить · across — поперёк, наперерез
collocation	be keen on	увлекаться чем-то	He is keen on cycling and swimming.	Он увлекается велоспортом и плаванием.	core	daily	keen изначально «острый» — отсюда «острый интерес». Британское. Предлог on обязателен, дальше существительное или -ing.	be — быть · keen — увлечённый, острый · on — на чём
