pattern_id	order_index	label	title_ru	notes_slug	kind	prompt_ru	stem	answer	tokens	hint_ru
to_be_present	10	Present Simple · to be	Глагол «быть» в настоящем	to-be-present	scramble	Я продакт-маркетинг лид.		I am a product marketing lead.	I|am|a|product|marketing|lead	В русском «Я — лид» глагола нет вообще. В английском `am` обязателен: без него предложение не существует.
to_be_present	10	Present Simple · to be	Глагол «быть» в настоящем	to-be-present	scramble	Утилизация парка сегодня низкая.		Fleet utilization is low today.	Fleet|utilization|is|low|today	Подлежащее в третьем лице единственного числа берёт `is`.
to_be_present	10	Present Simple · to be	Глагол «быть» в настоящем	to-be-present	scramble	Мы не готовы к запуску в Бразилии.		We are not ready for the Brazil launch.	We|are|not|ready|for|the|Brazil|launch	Отрицание строится вставкой `not` после формы `to be`. Вспомогательный `do` здесь не нужен.
to_be_present	10	Present Simple · to be	Глагол «быть» в настоящем	to-be-present	gapfill		The rate plan ___ different on weekends.	is		`The rate plan` — третье лицо единственного числа, значит `is`.
to_be_present	10	Present Simple · to be	Глагол «быть» в настоящем	to-be-present	gapfill		I ___ a business analyst at Libra Hospitality.	am		С `I` всегда `am`. Ни `is`, ни `are`.
to_be_present	10	Present Simple · to be	Глагол «быть» в настоящем	to-be-present	gapfill		The scooters ___ not available in this zone.	are		`Scooters` — множественное число, значит `are`. Отрицание: `are not`.
to_be_present	10	Present Simple · to be	Глагол «быть» в настоящем	to-be-present	transform	→ отрицание	The integration is ready.	The integration is not ready.||The integration isn't ready.		Форма `to be` отрицается сама: `is not`. Добавлять `does not` — типичный перенос с обычных глаголов.
to_be_present	10	Present Simple · to be	Глагол «быть» в настоящем	to-be-present	transform	→ вопрос	The report is correct.	Is the report correct?		Вопрос с `to be` — простая инверсия: форма глагола встаёт перед подлежащим, ничего не добавляется.
to_be_present	10	Present Simple · to be	Глагол «быть» в настоящем	to-be-present	transform	→ подлежащее во множественном числе	The vehicle is idle.	The vehicles are idle.		Форма `to be` согласуется с подлежащим: `vehicle is` → `vehicles are`.
to_be_present	10	Present Simple · to be	Глагол «быть» в настоящем	to-be-present	fix		I product marketing lead at JET Sharing.	I am a product marketing lead at JET Sharing.		Пропущен `am` — калька с русского «Я лид». Плюс перед профессией нужен артикль `a`.
to_be_present	10	Present Simple · to be	Глагол «быть» в настоящем	to-be-present	fix		The guest folio are empty.	The guest folio is empty.		`Folio` — единственное число, значит `is`, а не `are`.
to_be_present	10	Present Simple · to be	Глагол «быть» в настоящем	to-be-present	fix		She not in the office today.	She is not in the office today.||She isn't in the office today.		Отрицание без формы `to be` невозможно: нужно `is not`.
