type	en	ru	example_en	example_ru	layer	topic	note	breakdown
collocation	roll out a feature	выкатывать функциональность	We roll out the feature to ten percent of users first.	Сначала мы выкатываем функциональность на десять процентов пользователей.	business	release	roll out пришло из «раскатать рулон»: не мгновенный запуск, а постепенное разворачивание. Поэтому так говорят про выкатку на 10% пользователей. Launch — про громкий запуск целиком, release — про факт публикации.	roll out — выкатывать, разворачивать · a — неопределённый артикль · feature — функциональность, возможность продукта
collocation	push back on a deadline	оспаривать срок	I had to push back on the deadline because scope grew.	Мне пришлось оспорить срок, потому что объём вырос.	business	negotiation	push back буквально «оттолкнуть назад», в офисе — вежливо не согласиться. Предлог on обязателен: push back ON something. Без on фраза значит физически толкать.	push back — отодвинуть, возразить · on — предлог темы возражения · a deadline — крайний срок
collocation	take ownership of	брать ответственность за	She took ownership of the migration end to end.	Она взяла ответственность за миграцию от начала до конца.	business	ownership	Не «взять задачу», а «стать её владельцем»: отвечать за результат, а не за исполнение. Русское «взять ответственность» ближе к take responsibility — это про вину, ownership про полномочия.	take — брать · ownership — владение, от owner «владелец» · of — предлог объекта
collocation	align on scope	согласовать объём работ	Let us align on scope before we estimate.	Давайте согласуем объём работ до оценки.	business	planning	align из инженерного «выровнять по одной линии». Align ON — договориться о чём-то, align WITH — согласовать с кем-то. Разные предлоги, разный смысл.	align — выровнять, привести к согласию · on — по поводу чего · scope — объём работ, границы задачи
collocation	raise a concern	озвучить опасение	I want to raise a concern about the rollout plan.	Хочу озвучить опасение по плану выкатки.	business	meetings	raise здесь не «повысить», а «вынести наверх»: то же, что raise a question. Concern мягче, чем problem: ты обозначаешь риск, а не обвиняешь.	raise — поднять, вынести на обсуждение · a concern — опасение, беспокойство
phrase	let me walk you through it	давай я проведу тебя по этому	Let me walk you through it step by step.	Давай я проведу тебя по этому шаг за шагом.	business	meetings	Метафора прогулки: не «объяснить», а провести за руку по шагам. Стандартная фраза перед демонстрацией. Walk you through — не «идти», а вести кого-то.	let me — позволь мне · walk — провести, буквально «прогулять» · you — тебя · through — сквозь · it — это
phrase	correct me if I am wrong	поправь меня, если я не прав	Correct me if I am wrong, but the sync is nightly.	Поправь меня, если я не прав, но синхронизация ночная.	business	meetings	Смягчающая формула перед несогласием: заявляешь позицию, но заранее оставляешь собеседнику право возразить. Wrong — прилагательное, поэтому I AM wrong, не «I have wrong».	correct — поправь · me — меня · if — если · I am wrong — я не прав
phrase	that is out of scope for now	сейчас это вне объёма работ	That is out of scope for now, let us park it.	Сейчас это вне объёма работ, давайте отложим.	business	meetings	out of scope — не «неважно», а «за границей того, о чём договорились». For now смягчает: не отказ навсегда, а перенос. Без for now звучит как закрытая дверь.	that is — это · out of — за пределами · scope — объём работ · for now — пока что
collocation	fleet utilization	утилизация парка	Fleet utilization dropped after the price change.	Утилизация парка упала после изменения цены.	mobility	metrics	utilization это не «использование» вообще, а ДОЛЯ времени в работе. Fleet — любой парк: машин, самокатов, серверов. От военного «флот».	fleet — парк техники, флот · utilization — загруженность, доля полезного использования
collocation	unit economics	юнит-экономика	The unit economics break even at four rides per day.	Юнит-экономика выходит в ноль на четырёх поездках в день.	mobility	metrics	Экономика ОДНОЙ единицы: сколько приносит и сколько стоит один клиент. Economics с -s — это область знаний или набор показателей, а не множественное число.	unit — единица (один клиент, одна поездка, один заказ) · economics — экономика как набор показателей
