type	en	ru	example_en	example_ru	layer	topic	note	breakdown
phrase	I see what you mean	понимаю, о чём ты	I see what you mean, but the cost is high.	Понимаю, о чём ты, но цена высокая.	social	agree	see про понимание, а не про зрение — та же метафора, что в русском «вижу, к чему ты». Это НЕ согласие: понял мысль, но можешь спорить дальше.	I see — я вижу, здесь «понимаю» · what — что · you mean — ты имеешь в виду
phrase	I am with you on that	тут я с тобой согласен	I am with you on that completely.	Тут я с тобой полностью согласен.	social	agree	Согласие через физическое «рядом». Предлог on задаёт границу: согласен именно в ЭТОМ, не во всём. Без on звучит как «я иду с тобой».	I am with you — я с тобой · on that — в этом вопросе
phrase	that is a fair point	справедливое замечание	That is a fair point, I had not thought of it.	Справедливое замечание, я об этом не подумал.	social	agree	point здесь «довод в споре», а не «точка». Признание чужого аргумента без отказа от своей позиции. Артикль a обязателен.	that is — это есть · a fair — справедливый · point — довод, мысль
phrase	I could not agree more	полностью согласен	I could not agree more with your plan.	Полностью согласен с твоим планом.	social	agree	Отрицание усиливает: «сильнее согласиться невозможно» — то есть полностью согласен. Ловушка: звучит как несогласие, значит обратное.	I could not — я не мог бы · agree — согласиться · more — больше
phrase	I am not so sure about that	я в этом не уверен	I am not so sure about that approach.	Я не уверен насчёт этого подхода.	social	disagree	Смягчённое несогласие: не «ты не прав», а «я не уверен». So ослабляет ещё сильнее. Стандартный способ спорить вежливо.	I am not — я не · so sure — настолько уверен · about that — насчёт этого
phrase	I see it differently	я вижу это иначе	I see it differently, let me explain.	Я вижу это иначе, дай объясню.	social	disagree	Наречие differently, не прилагательное different: оно описывает КАК ты видишь. Прямое несогласие без обвинения — позиция подаётся как точка зрения.	I see — я вижу · it — это · differently — иначе
phrase	I take your point but	принимаю, но	I take your point but the timing is wrong.	Принимаю твою мысль, но время неподходящее.	social	disagree	take a point — «принять довод». Формула уступки перед возражением: сначала признать, потом спорить. Всё, что до but, собеседник почти не слышит.	I take — я принимаю · your point — твой довод · but — но
phrase	that is not quite what I meant	я не совсем это имел в виду	That is not quite what I meant.	Я не совсем это имел в виду.	social	clarify	quite смягчает: «не совсем», а не «вовсе не». Meant — прошедшее от mean. Так поправляют, не обвиняя в невнимательности.	that is not — это не · quite — совсем · what I meant — то, что я имел в виду
phrase	let me put it another way	скажу иначе	Let me put it another way then.	Тогда скажу иначе.	social	clarify	put здесь «выразить словами», а не «положить»: то же в how would you put it. После let идёт голый инфинитив.	let me — позволь мне · put — сформулировать · it — это · another way — иначе
phrase	if I understand you correctly	если я правильно понял	If I understand you correctly you want both.	Если я правильно понял, ты хочешь оба варианта.	social	clarify	Настоящее время, хотя по-русски прошедшее «если я правильно понял»: понимание идёт прямо сейчас. Наречие correctly, не right.	if — если · I understand — я понимаю · you — тебя · correctly — правильно
phrase	just to be clear	чтобы уточнить	Just to be clear, we ship on Friday?	Чтобы уточнить: мы выкатываем в пятницу?	social	clarify	Инфинитив цели: «чтобы стало ясно». Предупреждает недопонимание до того, как оно случилось. Может звучать резковато, если тон холодный.	just — просто · to be clear — чтобы было ясно
collocation	bear with me	потерпи немного	Bear with me, I am almost done.	Потерпи немного, я почти закончил.	social	hedging	bear здесь глагол «терпеть», не существительное «медведь». Просьба подождать, пока ты соображаешь или что-то ищешь.	bear — терпеть, выносить · with me — со мной
phrase	off the top of my head	навскидку	Off the top of my head it is about twenty.	Навскидку это около двадцати.	social	hedging	Буквально «с макушки» — то, что лежит сверху и не требует раскопок. Оговорка о неточности: цифра будет примерной.	off — с · the top — верхушка · of my head — моей головы
phrase	I would say roughly	я бы сказал примерно	I would say roughly two weeks.	Я бы сказал, примерно две недели.	social	hedging	roughly от rough «грубый» — оценка без точности. Would say смягчает: не утверждение, а прикидка.	I would say — я бы сказал · roughly — грубо, примерно
phrase	it is hard to say	трудно сказать	It is hard to say without the data.	Трудно сказать без данных.	social	hedging	Формальное it как подлежащее: по-русски подлежащего нет, в английском оно обязательно. Признание неопределённости, а не отказ отвечать.	it is — это есть · hard — трудно · to say — сказать
phrase	more or less	более или менее	The result is more or less what we expected.	Результат более или менее ожидаемый.	social	hedging	Оборот целиком, порядок слов не меняется. Смягчает точность: «примерно так». Ставится и в конце фразы.	more — больше · or — или · less — меньше
collocation	to some extent	до определённой степени	To some extent that is already true.	До определённой степени это уже так.	social	hedging	extent — «протяжённость, степень», отдельно почти не используется. Частичное согласие: не полностью, но и не отказ.	to — до · some — некоторой · extent — степень
phrase	how have you been	как ты поживаешь	Hi Anna, how have you been?	Привет, Анна, как поживаешь?	social	smalltalk	Perfect, потому что вопрос про промежуток от прошлой встречи до сейчас. How are you — про этот момент. Разные вопросы, а по-русски оба «как дела».	how — как · have you been — ты был, Present Perfect от be
phrase	what have you been up to	чем занимался	What have you been up to lately?	Чем занимался в последнее время?	social	smalltalk	be up to — «заниматься», часто с оттенком «чем-то своим». Perfect Continuous охватывает весь период с последней встречи.	what — что · have you been — ты был · up to — занят чем-то
phrase	long time no see	давно не виделись	Long time no see, you look great.	Давно не виделись, отлично выглядишь.	social	smalltalk	Ломаная грамматика намеренно: калька из пиджина, застывшая как идиома. Так и говорят, исправлять нельзя.	long time — долгое время · no see — не видеть
phrase	how is it going with the move	как продвигается переезд	How is it going with the move to Baku?	Как продвигается переезд в Баку?	social	smalltalk	go про процесс — то же, что в how is it going. Move как существительное «переезд» с артиклем the: речь о конкретном, известном обоим.	how is it going — как оно идёт · with — с · the move — переезд
collocation	catch up over lunch	поговорить за обедом	Let us catch up over lunch on Thursday.	Давай поговорим за обедом в четверг.	social	smalltalk	Предлог over для еды и напитков: «за обедом», over coffee, over drinks. Не during — оно про время, а over про совместность.	catch up — повидаться · over — за · lunch — обед
phrase	that sounds like fun	звучит весело	That sounds like fun, count me in.	Звучит весело, я в деле.	social	smalltalk	sound передаёт впечатление от услышанного: судишь по описанию, а не по опыту. Fun — существительное, поэтому like перед ним.	that — то · sounds — звучит · like — как · fun — веселье
phrase	tell me more about it	расскажи подробнее	Tell me more about it over coffee.	Расскажи подробнее за кофе.	social	smalltalk	tell требует адресата: tell ME. Say адресата не берёт. Это частая ошибка: «say me» не существует.	tell me — расскажи мне · more — больше · about it — об этом
phrase	the same to you	и тебе того же	Have a good weekend. The same to you.	Хороших выходных. И тебе того же.	social	smalltalk	Ответ на пожелание. Артикль the обязателен: same всегда с ним. To, а не for — направление пожелания.	the same — то же · to you — тебе
phrase	I am afraid I cannot	боюсь, не смогу	I am afraid I cannot make it tonight.	Боюсь, сегодня не смогу.	social	refuse	afraid здесь не про страх, а формула вежливого отказа. Смягчает «нет» так же, как русское «боюсь, что нет».	I am afraid — боюсь · I cannot — я не могу
phrase	maybe another time	может, в другой раз	Not this week, maybe another time.	Не на этой неделе, может, в другой раз.	social	refuse	another = an + other, поэтому артикль не нужен. Time здесь «раз», а не «время». Мягкий отказ с открытой дверью.	maybe — может быть · another — другой · time — раз
phrase	I would love to but	с радостью, но	I would love to but I have plans.	С радостью, но у меня планы.	social	refuse	После to глагол опускается — он уже понятен из контекста. Это не обрыв фразы, а норма. Отказ, поданный как сожаление.	I would love to — я бы с радостью · but — но
collocation	take a rain check	перенести на потом	Can I take a rain check on dinner?	Можем перенести ужин на другой раз?	social	refuse	Из бейсбола: матч отменили из-за дождя, зрителю дают талон на другой день. Отсюда «перенесём». Дословный перевод бесполезен.	take — взять · a rain check — талон на дождь
phrase	do you mind if I ask	не против, если спрошу	Do you mind if I ask how much it cost?	Не против, если спрошу, сколько это стоило?	social	polite	Ловушка ответа: «нет» здесь значит «спрашивай». Mind — «возражать», поэтому согласие выражается отрицанием.	do you mind — ты возражаешь · if — если · I ask — я спрошу
phrase	would it be possible to	возможно ли	Would it be possible to move the call?	Возможно ли перенести звонок?	social	polite	Самая формальная просьба из вежливых. Условное would отодвигает вопрос от прямого требования. В речи звучит слишком чопорно.	would it be — было бы это · possible — возможно · to — частица инфинитива
phrase	I was wondering whether	мне интересно, не мог бы	I was wondering whether you had time.	Мне интересно, есть ли у тебя время.	social	polite	Прошедшее Continuous для вежливости: отодвигает просьбу в прошлое и делает её менее навязчивой. Whether, а не if, в письменной речи.	I was wondering — я размышлял · whether — ли
phrase	sorry to bother you	извини, что отвлекаю	Sorry to bother you, quick question.	Извини, что отвлекаю, быстрый вопрос.	social	polite	Инфинитив после sorry — про то, что делаешь ПРЯМО СЕЙЧАС. Sorry FOR bothering — про уже сделанное. Разные времена извинения.	sorry — извини · to bother — беспокоить · you — тебя
phrase	thanks for the heads up	спасибо, что предупредил	Thanks for the heads up about the delay.	Спасибо, что предупредил о задержке.	social	polite	heads up из военного «поднять головы» — сигнал внимания. Существительное, пишется без дефиса, с артиклем the.	thanks for — спасибо за · the heads up — предупреждение
collocation	give someone a heads up	предупредить заранее	Give me a heads up before you arrive.	Предупреди меня заранее перед приездом.	social	polite	Пара к предыдущему, глагольная форма. Артикль a, хотя heads во множественном: оборот застыл целиком.	give — дать · someone — кому-то · a heads up — предупреждение
phrase	what do you think about it	что ты об этом думаешь	What do you think about it honestly?	Что ты об этом честно думаешь?	social	opinion	about для мнения в общем, of — для оценки качества. What do you think OF it спрашивает «как тебе», about — «что скажешь по сути».	what — что · do you think — ты думаешь · about it — об этом
