type	en	ru	example_en	example_ru	layer	topic	note	breakdown
collocation	an issuing bank	банк-эмитент	The issuing bank declined the transaction.	Банк-эмитент отклонил транзакцию.	fintech	cards	Банк, ВЫПУСТИВШИЙ карту держателю. Не «issue bank»: issuing — причастие, описывает постоянную роль, а не единичное действие.	an — артикль перед гласным · issuing — выпускающий, от issue · bank — банк
collocation	an acquiring bank	банк-эквайер	The acquiring bank serves the merchant.	Банк-эквайер обслуживает торговую точку.	fintech	cards	Банк на стороне ТОРГОВЦА: приобретает у него платежи. Пара к issuing. Русское «эквайер» — прямая калька.	acquiring — принимающий, от acquire «приобретать» · bank — банк
collocation	a card scheme	платёжная система	Visa is a card scheme, not a bank.	Visa это платёжная система, а не банк.	fintech	cards	scheme в британском значении «система, программа», без негативного оттенка русского «схема». Visa и Mastercard — это schemes, не банки.	card — карта · scheme — схема, здесь платёжная система
collocation	a payment processor	процессинг	The payment processor routes the request.	Процессинг маршрутизирует запрос.	fintech	cards	Технический посредник, гоняющий сообщения между участниками. Не держит деньги — этим занимается банк.	payment — платёж · processor — обработчик
collocation	a merchant of record	юридический продавец	The merchant of record carries the liability.	Юридический продавец несёт ответственность.	fintech	cards	of record — «тот, кто указан в документах»: юридически продавец, даже если товар чужой. Оборот of record добавляет юридический статус.	merchant — торговец · of record — официально зафиксированный
collocation	an authorisation request	запрос авторизации	The authorisation request timed out.	Запрос авторизации истёк по времени.	fintech	cards	Британское -isation, американское -ization. Запрос «а есть ли деньги» — ещё не списание. Сокращают до auth request.	authorisation — авторизация · request — запрос
collocation	an authorisation hold	холд по авторизации	The authorisation hold expires in seven days.	Холд по авторизации истекает через семь дней.	fintech	cards	Сумма заблокирована, но не списана: hold от hold «держать». Отсюда русское «холд». Истекает сам, если не сделать capture.	authorisation — авторизация · hold — удержание
collocation	capture a payment	списать заблокированную сумму	We capture the payment when the order ships.	Мы списываем сумму при отгрузке заказа.	fintech	cards	Превратить холд в реальное списание. Не «поймать»: capture здесь «взять окончательно». Пара к void.	capture — захватить, зафиксировать · a payment — платёж
collocation	void a transaction	отменить до расчёта	Void the transaction before settlement.	Отмени транзакцию до расчёта.	fintech	cards	Отменить ДО расчёта, как будто её не было. Отличается от refund: refund возвращает уже ушедшие деньги, void не даёт им уйти.	void — обнулить, аннулировать · a transaction — транзакция
collocation	settlement of funds	расчёт по средствам	Settlement of funds happens the next business day.	Расчёт по средствам происходит на следующий рабочий день.	fintech	cards	settle здесь «окончательно рассчитаться», не «поселиться». Момент, когда деньги реально меняют владельца.	settlement — расчёт, урегулирование · of funds — средств
